article,date,polarity,subjectivity
NYTime: What to Know About DeepSeek and How It Is Upending A.I.,2025-01-27,0.0,0.0
NYTime: First Impressions of DeepSeek’s A.I. Chatbot,2025-01-27,0.25,0.3333333333333333
NYTime: Why DeepSeek Could Change What Silicon Valley Believes About A.I.,2025-01-28,0.0,0.0
"NYTime: Inside China, DeepSeek Provides a National Mic Drop Moment",2025-01-28,0.0,0.0
NYTime: Who Is the Founder of the A.I. Start-Up DeepSeek?,2025-01-29,0.0,0.0
NYTime: Meta Engineers See Vindication in DeepSeek’s Apparent Breakthrough,2025-01-29,0.05,0.35
NYTime: OpenAI Says DeepSeek May Have Improperly Harvested Its Data,2025-01-29,0.0,0.0
NYTime: They Invested Billions. Then the A.I. Script Got Flipped.,2025-01-29,0.0,0.0
NYTime: The DeepSeek drama may have been briefly eclipsed by everything in Washington,2025-01-30,0.0,0.3333333333333333
"NYTime: DeepSeek’s Answers Include Chinese Propaganda, Researchers Say",2025-01-31,-0.05,0.05
NYTime: DeepSeek Is a Win for China in the A.I. Race. Will the Party Stifle It?,2025-02-02,0.8,0.4
NYTime: China Challenges Silicon Valley for A.I. Dominance,2025-02-03,0.0,0.0
NYTime: Stop Worshiping the American Tech Giants,2025-02-04,0.0,0.0
NYTime: Is Artificial Intelligence Really Worth the Hype?,2025-02-07,-0.15,0.55
NYTime: What DeepSeek? Big Tech Keeps Its A.I. Building Boom Alive.,2025-02-08,0.05,0.25
NYTime: What DeepSeek’s Success Says About China’s Ability to Nurture Talent,2025-02-10,0.3,0.0
NYTime: How Did DeepSeek Build Its A.I. With Less Money?,2025-02-12,-0.16666666666666666,0.06666666666666667
"NYTime: DeepSeek Doesn’t Scare OpenAI, Thanks to the ‘Jevons Paradox’",2025-02-14,0.2,0.2
"NYTime: South Korea Bans Downloads of DeepSeek, the Chinese A.I. App",2025-02-17,0.0,0.0
